Gmt time,Open,High,Low,Close,Volume
23.03.2020 00:00:00.000,1.06896,1.06973,1.06834,1.06857,2219.21
23.03.2020 00:10:00.000,1.06857,1.07002,1.06828,1.06948,994.42
23.03.2020 00:20:00.000,1.06949,1.07058,1.06776,1.06801,1532.06
23.03.2020 00:30:00.000,1.06800,1.06848,1.06695,1.06770,2123.29
23.03.2020 00:40:00.000,1.06771,1.06776,1.06588,1.06646,2175.1099999999997
23.03.2020 00:50:00.000,1.06644,1.06964,1.06644,1.06793,2869.3399999999992
23.03.2020 01:00:00.000,1.06792,1.06834,1.06694,1.06731,2222.82
23.03.2020 01:10:00.000,1.06736,1.06872,1.06727,1.06862,3104.04
23.03.2020 01:20:00.000,1.06863,1.06933,1.06788,1.06788,1092.24
23.03.2020 01:30:00.000,1.06788,1.07087,1.06765,1.07082,1681.4699999999998
23.03.2020 01:40:00.000,1.07084,1.07214,1.07067,1.07113,1896.54
23.03.2020 01:50:00.000,1.07113,1.07213,1.07026,1.07182,1657.4
23.03.2020 02:00:00.000,1.07181,1.07255,1.07144,1.07240,2359.24
23.03.2020 02:10:00.000,1.07235,1.07283,1.07212,1.07241,1462.4300000000003
23.03.2020 02:20:00.000,1.07240,1.07242,1.07132,1.07169,2195.7000000000003
23.03.2020 02:30:00.000,1.07169,1.07276,1.07158,1.07181,2089.17
23.03.2020 02:40:00.000,1.07183,1.07266,1.07138,1.07210,1916.8899999999999
23.03.2020 02:50:00.000,1.07210,1.07303,1.07189,1.07299,1312.7700000000002
23.03.2020 03:00:00.000,1.07300,1.07306,1.07193,1.07236,1277.45
23.03.2020 03:10:00.000,1.07236,1.07262,1.07145,1.07165,1441.0700000000002
23.03.2020 03:20:00.000,1.07164,1.07232,1.07141,1.07198,1740.79
23.03.2020 03:30:00.000,1.07199,1.07276,1.07144,1.07240,2503.72
23.03.2020 03:40:00.000,1.07241,1.07241,1.07133,1.07138,2746.55
23.03.2020 03:50:00.000,1.07139,1.07184,1.07124,1.07146,2257.9900000000002
23.03.2020 04:00:00.000,1.07148,1.07300,1.07145,1.07276,2462.0099999999998
23.03.2020 04:10:00.000,1.07276,1.07351,1.07273,1.07342,1385
23.03.2020 04:20:00.000,1.07342,1.07345,1.07308,1.07335,1311.8899999999999
23.03.2020 04:30:00.000,1.07336,1.07345,1.07284,1.07296,1367.99
23.03.2020 04:40:00.000,1.07297,1.07369,1.07286,1.07301,1623.1499999999999
23.03.2020 04:50:00.000,1.07302,1.07376,1.07285,1.07362,1497.15
23.03.2020 05:00:00.000,1.07362,1.07375,1.07317,1.07321,1542.4300000000003
23.03.2020 05:10:00.000,1.07322,1.07423,1.07289,1.07422,2273.9799999999996
23.03.2020 05:20:00.000,1.07420,1.07482,1.07418,1.07479,1911.63
23.03.2020 05:30:00.000,1.07479,1.07564,1.07474,1.07530,1463.5400000000002
23.03.2020 05:40:00.000,1.07528,1.07566,1.07465,1.07525,1853.3000000000002
23.03.2020 05:50:00.000,1.07525,1.07535,1.07486,1.07504,802.6800000000001
23.03.2020 06:00:00.000,1.07504,1.07588,1.07471,1.07511,900.5799999999999
23.03.2020 06:10:00.000,1.07508,1.07550,1.07435,1.07535,1281.75
23.03.2020 06:20:00.000,1.07532,1.07694,1.07513,1.07597,1369.9699999999998
23.03.2020 06:30:00.000,1.07597,1.07598,1.07501,1.07533,1022.35
23.03.2020 06:40:00.000,1.07535,1.07560,1.07378,1.07395,1072.35
23.03.2020 06:50:00.000,1.07392,1.07487,1.07165,1.07483,2589.9399999999996
23.03.2020 07:00:00.000,1.07484,1.07543,1.07336,1.07339,4652.92
23.03.2020 07:10:00.000,1.07339,1.07403,1.07283,1.07320,4353.61
23.03.2020 07:20:00.000,1.07318,1.07364,1.07262,1.07279,3773.8999999999996
23.03.2020 07:30:00.000,1.07279,1.07331,1.07203,1.07245,3971.1099999999997
